id,employee_id,manager_id,employee_email,manager_email,created_at
1,990001,990002,tommy.s@mockcorp.co.th,jason.k@mockcorp.co.th,2020-05-18
2,990002,990001,jason.k@mockcorp.co.th,tommy.s@mockcorp.co.th,2020-05-18
3,990003,990002,sophie.n@mockcorp.co.th,jason.k@mockcorp.co.th,2021-02-25
4,990004,990001,peter.m@mockcorp.co.th,tommy.s@mockcorp.co.th,2021-06-06
5,990005,990002,isla.e@mockcorp.co.th,jason.k@mockcorp.co.th,2021-11-09
6,990006,990002,nathan.w@mockcorp.co.th,jason.k@mockcorp.co.th,2021-11-09
7,990009,990002,sienna.i@mockcorp.co.th,jason.k@mockcorp.co.th,2021-12-19
8,990010,990002,ethan.h@mockcorp.co.th,jason.k@mockcorp.co.th,2021-12-19
9,990007,990001,ava.e@mockcorp.co.th,tommy.s@mockcorp.co.th,2022-02-18
10,990008,990001,mason.e@mockcorp.co.th,tommy.s@mockcorp.co.th,2022-02-18
11,990014,990001,felix.n@mockcorp.co.th,tommy.s@mockcorp.co.th,2022-07-01
12,990011,990002,elena.e@mockcorp.co.th,jason.k@mockcorp.co.th,2022-11-01
13,990012,990002,tristan.m@mockcorp.co.th,jason.k@mockcorp.co.th,2022-11-01
14,990013,990006,kayla.t@mockcorp.co.th,nathan.w@mockcorp.co.th,2022-12-09
15,990015,990001,brooke.n@mockcorp.co.th,tommy.s@mockcorp.co.th,2023-03-09
16,990016,990001,noah.t@mockcorp.co.th,tommy.s@mockcorp.co.th,2023-03-09
17,990017,990002,harper.t@mockcorp.co.th,jason.k@mockcorp.co.th,2023-05-01
18,990009,990003,sienna.i@mockcorp.co.th,sophie.n@mockcorp.co.th,2024-01-01
19,990012,990003,tristan.m@mockcorp.co.th,sophie.n@mockcorp.co.th,2024-01-01
20,990018,990008,olivia.m@mockcorp.co.th,mason.e@mockcorp.co.th,2024-02-28
21,990019,990014,natalie.n@mockcorp.co.th,felix.n@mockcorp.co.th,2024-02-28
22,990020,990001,jack.j@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
23,990021,990001,fiona.t@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
24,990022,990001,alice.n@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
25,990023,990001,daniel.m@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
26,990024,990001,chloe.t@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
27,990025,990002,miles.d@mockcorp.co.th,jason.k@mockcorp.co.th,2024-06-18
28,990026,990001,talia.r@mockcorp.co.th,tommy.s@mockcorp.co.th,2024-06-18
29,990027,990006,nina.t@mockcorp.co.th,nathan.w@mockcorp.co.th,2024-08-01
30,990015,990016,brooke.n@mockcorp.co.th,noah.t@mockcorp.co.th,2024-10-01
31,990020,990016,jack.j@mockcorp.co.th,noah.t@mockcorp.co.th,2024-10-01
32,990021,990016,fiona.t@mockcorp.co.th,noah.t@mockcorp.co.th,2024-10-01
33,990010,990005,ethan.h@mockcorp.co.th,isla.e@mockcorp.co.th,2025-02-01
34,990011,990005,elena.e@mockcorp.co.th,isla.e@mockcorp.co.th,2025-02-01
35,990028,990014,henry.y@mockcorp.co.th,felix.n@mockcorp.co.th,2025-05-17
